Date,Tournament,Format,Type,Players,Top Archetype,Top %,Has Standings,Has Rounds
2025-07-24,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-22,Standard Challenge 64,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-21,Standard Challenge 64,Standard,challenge,32,Unknown,100.0%,Yes,Yes
2025-07-20,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-19,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-19,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-18,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-18,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-17,Standard Challenge 32,Standard,challenge,32,Unknown,100.0%,Yes,Yes
2025-07-15,Standard Challenge 64,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-14,Standard Challenge 64,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-13,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-12,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-12,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-11,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-11,Standard RC Qualifier,Standard,qualifier,32,Unknown,100.0%,Yes,Yes
2025-07-11,Standard Challenge 32,Standard,challenge,32,Unknown,100.0%,Yes,Yes
2025-07-10,Standard Challenge 32,Standard,challenge,32,Unknown,87.5%,Yes,Yes
2025-07-08,Standard Challenge 64,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-07,Standard Challenge 64,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-06,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-05,Standard Challenge 32,Standard,challenge,32,Unknown,100.0%,Yes,Yes
2025-07-05,Standard Challenge 32,Standard,challenge,32,Unknown,93.8%,Yes,Yes
2025-07-04,Standard Challenge 32,Standard,challenge,32,Unknown,100.0%,Yes,Yes
2025-07-04,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-03,Standard Challenge 32,Standard,challenge,32,Unknown,96.9%,Yes,Yes
2025-07-01,Standard Challenge 64,Standard,challenge,32,Unknown,96.9%,Yes,Yes
