tournament_id,tournament_name,tournament_date,tournament_format,tournament_source,tournament_players,tournament_rounds,tournament_url,player_name,archetype,wins,losses,draws,final_position,matches_played,winrate
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_0_0,Living End,2,3,0,,5,0.4
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_0_1,Living End,2,6,0,,8,0.25
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_0,Tron,3,2,0,,5,0.6
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_1,Tron,2,4,0,,6,0.3333333333333333
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_2,Tron,1,4,0,,5,0.2
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_3,Tron,1,4,0,,5,0.2
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_4,Tron,9,0,0,,9,1.0
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_5,Tron,3,3,0,,6,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_6,Tron,1,5,0,,6,0.16666666666666666
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_7,Tron,4,3,0,,7,0.5714285714285714
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_8,Tron,5,1,0,,6,0.8333333333333334
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_9,Tron,2,2,0,,4,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_10,Tron,2,2,0,,4,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_11,Tron,2,4,0,,6,0.3333333333333333
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_12,Tron,3,3,0,,6,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_1_13,Tron,3,2,0,,5,0.6
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_0,Rhinos,2,4,0,,6,0.3333333333333333
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_1,Rhinos,4,3,0,,7,0.5714285714285714
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_2,Rhinos,2,3,0,,5,0.4
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_3,Rhinos,4,1,0,,5,0.8
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_4,Rhinos,2,3,0,,5,0.4
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_5,Rhinos,1,5,0,,6,0.16666666666666666
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_6,Rhinos,5,3,0,,8,0.625
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_7,Rhinos,3,2,0,,5,0.6
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_8,Rhinos,3,4,0,,7,0.42857142857142855
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_9,Rhinos,3,3,0,,6,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_10,Rhinos,4,4,0,,8,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_11,Rhinos,2,4,0,,6,0.3333333333333333
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_12,Rhinos,0,4,0,,4,0.0
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_13,Rhinos,3,2,0,,5,0.6
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_14,Rhinos,0,6,0,,6,0.0
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_15,Rhinos,7,1,0,,8,0.875
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_16,Rhinos,3,5,0,,8,0.375
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_17,Rhinos,1,5,0,,6,0.16666666666666666
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_18,Rhinos,1,4,0,,5,0.2
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_19,Rhinos,1,4,0,,5,0.2
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_20,Rhinos,2,3,0,,5,0.4
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_21,Rhinos,2,2,0,,4,0.5
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_22,Rhinos,4,3,0,,7,0.5714285714285714
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_23,Rhinos,2,3,0,,5,0.4
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_24,Rhinos,3,1,0,,4,0.75
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_25,Rhinos,0,4,0,,4,0.0
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_26,Rhinos,2,6,0,,8,0.25
generated_Modern_0,Modern Tournament 1,2025-07-08 00:37:46.213519,Modern,generated,128,8,,Player_generated_Modern_0_2_27,Rhinos,2,2,0,,4,0.5
