archetype,winrate_mean,winrate_std,sample_size,total_wins,total_losses,total_matches,unique_players,ci_lower,ci_upper,metagame_share,tier
Storm,0.1436,0.3516,195,140,0,140,91,0.9732937996305869,0.9999999999999999,0.24661246612466126,Tier 1
Mono Red Aggro,0.1783,0.384,157,140,0,140,90,0.9732937996305869,0.9999999999999999,0.24390243902439024,Tier 1
Dimir Deck,0.1557,0.3637,167,130,0,130,60,0.9712984388055687,1.0,0.16260162601626016,Tier 1
Izzet Deck,0.3415,0.4801,41,70,0,70,21,0.9479769375897331,1.0,0.056910569105691054,Tier 1
Azorius Deck,0.4444,0.5064,27,60,0,60,12,0.93982814785791,0.9999999999999998,0.032520325203252036,Tier 1
Other,0.2069,0.4123,29,30,0,30,18,0.8864866068260312,0.9999999999999999,0.04878048780487805,Tier 1
Boros Deck,0.4,0.5071,15,30,0,30,9,0.8864866068260312,0.9999999999999999,0.024390243902439025,Tier 1
Selesnya Deck,0.375,0.5,16,30,0,30,8,0.8864866068260312,0.9999999999999999,0.02168021680216802,Tier 1
Jeskai Deck,0.1333,0.3519,15,10,0,10,8,0.7224672001371107,0.9999999999999999,0.02168021680216802,Tier 1
Burn,0.5,0.5774,4,10,0,10,1,0.7224672001371107,0.9999999999999999,0.0027100271002710027,Tier 1
Dimir Control,0.2,0.4216,10,10,0,10,8,0.7224672001371107,0.9999999999999999,0.02168021680216802,Tier 1
Golgari Deck,0.1538,0.3755,13,10,0,10,9,0.7224672001371107,0.9999999999999999,0.024390243902439025,Tier 1
Gruul Deck,0.4,0.5477,5,10,0,10,2,0.7224672001371107,0.9999999999999999,0.005420054200542005,Tier 1
Rakdos Deck,0.2857,0.488,7,10,0,10,5,0.7224672001371107,0.9999999999999999,0.013550135501355014,Tier 1
Abzan Deck,0.0,0.0,3,0,0,0,3,0.0,1.0,0.008130081300813009,
Orzhov Deck,0.0,0.0,11,0,0,0,7,0.0,1.0,0.018970189701897018,
Naya Deck,0.0,,1,0,0,0,1,0.0,1.0,0.0027100271002710027,
Jund Deck,0.0,,1,0,0,0,1,0.0,1.0,0.0027100271002710027,
Bant Ramp,0.0,0.0,17,0,0,0,14,0.0,1.0,0.037940379403794036,
Sultai Deck,0.0,,1,0,0,0,1,0.0,1.0,0.0027100271002710027,
