archetype_a,archetype_b,wins,losses,total_matches,winrate,ci_lower,ci_upper
Abzan Deck,Azorius Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Bant Ramp,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Boros Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Burn,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Dimir Control,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Abzan Deck,Dimir Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Abzan Deck,Golgari Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Abzan Deck,Gruul Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Izzet Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Jeskai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Jund Deck,1,4,5,0.2,0.03622410863243014,0.6244653702374747
Abzan Deck,Mono Red Aggro,3,2,5,0.6,0.2307242812760128,0.882379225767352
Abzan Deck,Naya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Abzan Deck,Orzhov Deck,0,5,5,0.0,0.0,0.43448246478317476
Abzan Deck,Other,2,3,5,0.4,0.11762077423264783,0.769275718723987
Abzan Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Abzan Deck,Selesnya Deck,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Abzan Deck,Storm,0,5,5,0.0,0.0,0.43448246478317476
Abzan Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Azorius Deck,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Bant Ramp,6,2,8,0.75,0.40927543031016883,0.9285207872478909
Azorius Deck,Boros Deck,5,2,7,0.7142857142857143,0.35893445183261935,0.9177810759959433
Azorius Deck,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Dimir Control,4,1,5,0.8,0.37553462976252533,0.9637758913675698
Azorius Deck,Dimir Deck,5,8,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
Azorius Deck,Golgari Deck,3,3,6,0.5,0.1876163064826506,0.8123836935173494
Azorius Deck,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Izzet Deck,5,8,13,0.38461538461538464,0.17709707797762575,0.6447710848733431
Azorius Deck,Jeskai Deck,6,1,7,0.8571428571428571,0.4868721707256811,0.9743203756552565
Azorius Deck,Jund Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Mono Red Aggro,8,5,13,0.6153846153846154,0.355228915126657,0.8229029220223743
Azorius Deck,Naya Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Orzhov Deck,5,0,5,1.0,0.5655175352168251,1.0
Azorius Deck,Other,3,10,13,0.23076923076923078,0.08179528718498569,0.5025637594672749
Azorius Deck,Rakdos Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Azorius Deck,Selesnya Deck,5,3,8,0.625,0.30574239460262737,0.8631557141764026
Azorius Deck,Storm,6,7,13,0.46153846153846156,0.23206067809538303,0.7085620428549398
Azorius Deck,Sultai Deck,3,2,5,0.6,0.2307242812760128,0.882379225767352
Bant Ramp,Abzan Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Bant Ramp,Azorius Deck,4,4,8,0.5,0.21521606221387757,0.7847839377861224
Bant Ramp,Boros Deck,2,5,7,0.2857142857142857,0.08221892400405678,0.6410655481673808
Bant Ramp,Burn,2,3,5,0.4,0.11762077423264783,0.769275718723987
Bant Ramp,Dimir Control,3,2,5,0.6,0.2307242812760128,0.882379225767352
Bant Ramp,Dimir Deck,1,7,8,0.125,0.02241749145005667,0.4708881822128535
Bant Ramp,Golgari Deck,2,4,6,0.3333333333333333,0.09677141110578041,0.700006684861608
Bant Ramp,Gruul Deck,2,3,5,0.4,0.11762077423264783,0.769275718723987
Bant Ramp,Izzet Deck,3,5,8,0.375,0.13684428582359742,0.6942576053973727
Bant Ramp,Jeskai Deck,3,4,7,0.42857142857142855,0.15821985525146975,0.7495416354723428
